,lat,lon,marker-color
0,37.74574,-122.42685,#7CFC00
1,37.74574,-122.42685,#7CFC00
2,37.74996531953482,-122.43047531971594,#7CFC00
3,37.74574,-122.42685,#7CFC00
4,37.74574,-122.42685,#7CFC00
5,37.74574,-122.42685,#7CFC00
6,37.745809195988365,-122.4268714732438,#7CFC00
7,37.72248748843821,-122.4268324670552,#7CFC00
8,37.74574,-122.42685,#7CFC00
9,37.74574,-122.42685,#7CFC00
10,37.73713068771163,-122.4265122150437,#7CFC00
11,37.74574,-122.42685,#7CFC00
12,37.75522474242501,-122.44188372312837,#7CFC00
13,37.74735927565311,-122.4511743607465,#7CFC00
14,37.74574,-122.42685,#7CFC00
15,37.75431908138672,-122.44839270864004,#7CFC00
16,37.74574,-122.42685,#7CFC00
17,37.74574,-122.42685,#7CFC00
18,37.78843974108387,-122.44341248870144,#7CFC00
19,37.780979672126044,-122.35524726408711,#7CFC00
20,37.74574,-122.42685,#7CFC00
21,37.74574,-122.42685,#7CFC00
22,37.774437763868114,-122.39742014235857,#7CFC00
23,37.730089115191106,-122.3974868756478,#7CFC00
24,37.74574,-122.42685,#7CFC00
25,37.73229321522517,-122.47619630924778,#7CFC00
26,37.74574,-122.42685,#7CFC00
27,37.742189499696856,-122.47159255163187,#7CFC00
28,37.74574,-122.42685,#7CFC00
29,37.74574,-122.42685,#7CFC00
30,37.744504599788634,-122.4674869951596,#7CFC00
31,37.74574,-122.42685,#7CFC00
32,37.74759276524277,-122.46924491510556,#7CFC00
33,37.74574,-122.42685,#7CFC00
34,37.816529928465705,-122.46058206547376,#7CFC00
35,37.74574,-122.42685,#7CFC00
36,37.7969302290625,-122.34757430358616,#7CFC00
37,37.74574,-122.42685,#7CFC00
38,37.78825587105173,-122.33292469962822,#7CFC00
39,37.74574,-122.42685,#7CFC00
40,37.70441808227928,-122.35318273769,#7CFC00
41,37.74574,-122.42685,#7CFC00
42,37.73141632640591,-122.35062955660773,#7CFC00
43,37.74574,-122.42685,#7CFC00
44,37.72068807192046,-122.35821318783115,#7CFC00
45,37.74574,-122.42685,#7CFC00
46,37.72479116956262,-122.43559222726903,#7CFC00
47,37.74574,-122.42685,#7CFC00
48,37.72750907066242,-122.43646773019397,#7CFC00
49,37.74574,-122.42685,#7CFC00
50,37.731506508242596,-122.40895904428658,#7CFC00
51,37.74574,-122.42685,#7CFC00
52,37.80031841806884,-122.24402158640693,#7CFC00
53,37.74574,-122.42685,#7CFC00
54,37.75582677773728,-122.31014029685669,#7CFC00
55,37.74574,-122.42685,#7CFC00
56,37.771131852288576,-122.28299536771053,#7CFC00
57,37.74574,-122.42685,#7CFC00
58,37.773626073461216,-122.28085604059191,#7CFC00
59,37.74574,-122.42685,#7CFC00
60,37.77587245820382,-122.21044376960923,#7CFC00
61,37.74574,-122.42685,#7CFC00
62,37.77641814829939,-122.29106445197925,#7CFC00
63,37.74574,-122.42685,#7CFC00
64,37.77725899603102,-122.29413411413971,#7CFC00
65,37.74574,-122.42685,#7CFC00
66,37.77125305658339,-122.41718216779724,#7CFC00
67,37.74574,-122.42685,#7CFC00
68,37.771881878065905,-122.44228721871113,#7CFC00
69,37.74574,-122.42685,#7CFC00
70,37.7727548084845,-122.47050838629738,#7CFC00
71,37.74574,-122.42685,#7CFC00
72,37.77246248046437,-122.47485923756177,#7CFC00
73,37.74574,-122.42685,#7CFC00
74,37.7725504417544,-122.47945740283828,#7CFC00
75,37.77304422874735,-122.48355102023338,#7CFC00
76,37.74574,-122.42685,#7CFC00
77,37.77474652514043,-122.62888839039142,#7CFC00
78,37.74574,-122.42685,#7CFC00
79,37.77382801258331,-122.70897361030454,#7CFC00
80,37.74574,-122.42685,#7CFC00
81,37.77303551760158,-122.73932162569308,#7CFC00
82,37.74574,-122.42685,#7CFC00
83,37.77284823648942,-122.72475589914059,#7CFC00
84,37.74574,-122.42685,#7CFC00
85,37.77155858648415,-122.73522715871053,#7CFC00
86,37.74574,-122.42685,#7CFC00
87,37.77095755549396,-122.72578310314655,#7CFC00
88,37.74574,-122.42685,#7CFC00
89,37.91391967132025,-122.53865840469304,#7CFC00
90,37.74574,-122.42685,#7CFC00
91,37.830635230860835,-122.64696244223529,#7CFC00
92,37.74574,-122.42685,#7CFC00
93,37.72942604780315,-122.7687112624415,#7CFC00
94,37.74574,-122.42685,#7CFC00
95,37.72855529212816,-122.77754242748173,#7CFC00
96,37.74574,-122.42685,#7CFC00
97,37.736010137517674,-122.72056678990904,#7CFC00
98,37.74574,-122.42685,#7CFC00
99,37.74309868381091,-122.50184935243006,#7CFC00
100,37.74574,-122.42685,#7CFC00
101,37.74711105787319,-122.49657654357105,#7CFC00
102,37.74574,-122.42685,#7CFC00
103,37.77220855057506,-122.48690251558095,#7CFC00
104,37.74574,-122.42685,#7CFC00
105,37.90104893870756,-122.96773647175878,#7CFC00
106,37.93526412503525,-123.03279392041419,#7CFC00
107,37.74574,-122.42685,#7CFC00
108,38.26785988085162,-122.47480660039892,#7CFC00
109,37.74574,-122.42685,#7CFC00
110,38.240692557747856,-122.44954125807286,#7CFC00
111,37.74574,-122.42685,#7CFC00
112,37.74574,-122.42685,#7CFC00
113,37.7231738611265,-122.49682403789254,#7CFC00
114,37.6892070632532,-123.01122628479229,#7CFC00
115,37.74574,-122.42685,#7CFC00
116,37.69739020312559,-122.2858059987834,#7CFC00
117,37.74574,-122.42685,#7CFC00
118,37.71071998461236,-122.34058329738681,#7CFC00
119,37.74574,-122.42685,#7CFC00
120,37.71952182318227,-122.3578028422611,#7CFC00
121,37.74574,-122.42685,#7CFC00
122,37.72432793910862,-122.3650588871339,#7CFC00
123,37.74574,-122.42685,#7CFC00
124,37.72550700433075,-122.36264460323214,#7CFC00
125,37.74574,-122.42685,#7CFC00
126,37.74574,-122.42685,#7CFC00
127,37.74574,-122.42685,#7CFC00
128,37.74574,-122.42685,#7CFC00
129,37.74574,-122.42685,#7CFC00
130,37.731589591463845,-122.37069795421158,#7CFC00
131,37.74574,-122.42685,#7CFC00
132,37.73451484942862,-122.37770712423587,#7CFC00
133,37.74574,-122.42685,#7CFC00
134,37.73379626501945,-122.3768006996337,#7CFC00
135,37.74574,-122.42685,#7CFC00
136,37.73758956482297,-122.38077943830473,#7CFC00
137,37.74574,-122.42685,#7CFC00
138,37.74386030823072,-122.37624722915534,#7CFC00
139,37.74574,-122.42685,#7CFC00
140,37.74325552216596,-122.3849095887186,#7CFC00
141,37.74574,-122.42685,#7CFC00
142,37.74299879966432,-122.38745975955989,#7CFC00
143,37.74574,-122.42685,#7CFC00
144,37.74781330713716,-122.39481345122385,#7CFC00
145,37.74574,-122.42685,#7CFC00
146,37.74389364779301,-122.39246466703959,#7CFC00
147,37.74574,-122.42685,#7CFC00
148,37.74332409477741,-122.3907218801464,#7CFC00
149,37.74574,-122.42685,#7CFC00
150,37.74294345680914,-122.38976488520944,#7CFC00
151,37.74574,-122.42685,#7CFC00
152,37.74383390229989,-122.39190172125325,#7CFC00
153,37.74574,-122.42685,#7CFC00
154,37.743829081868604,-122.39490362643481,#7CFC00
